album,year,cover,tracklist
Finally Rich,2012,https://images.genius.com/962ab3835e27569fb764b251ff757de2.1000x1000x1.png,"['Love Sosa byChiefKeef, ', 'Hallelujah byChiefKeef, ', ""I Don't Like byChiefKeef (Ft.LilReese), "", 'No Tomorrow byChiefKeef, ', ""Hate Bein' Sober byChiefKeef (Ft.50Cent & WizKhalifa), "", 'Kay Kay byChiefKeef, ', 'Laughin� to the Bank byChiefKeef, ', 'Diamonds byChiefKeef (Ft.FrenchMontana), ', ""Ballin' byChiefKeef, "", 'Understand Me byChiefKeef (Ft.Jeezy), ', '3Hunna (Album Version) byChiefKeef (Ft.RickRoss), ', 'Finally Rich byChiefKeef, ']"
Finally Rich(Deluxe),2012,https://images.genius.com/a5e27b668ad80002987c781253702e03.1000x1000x1.png,"['Love Sosa byChiefKeef, ', 'Hallelujah byChiefKeef, ', ""I Don't Like byChiefKeef (Ft.LilReese), "", 'No Tomorrow byChiefKeef, ', ""Hate Bein' Sober byChiefKeef (Ft.50Cent & WizKhalifa), "", 'Kay Kay byChiefKeef, ', 'Laughin� to the Bank byChiefKeef, ', 'Diamonds byChiefKeef (Ft.FrenchMontana), ', ""Ballin' byChiefKeef, "", 'Understand Me byChiefKeef (Ft.Jeezy), ', '3Hunna (Album Version) byChiefKeef (Ft.RickRoss), ', 'Finally Rich byChiefKeef, ', 'Citgo byChiefKeef, ', 'Kobe byChiefKeef, ', 'Got Them Bands byChiefKeef, ', ""Don't Make No Sense byChiefKeef (Ft.FatTrel & MasterP), ""]"
Back from the dead,2012,https://images.genius.com/fa88e3a0da84925d9691f7622fea72df.500x500x1.jpg,"['Monster byChiefKeef, ', 'My Niggas byChiefKeef (Ft.SD), ', 'Sosa byChiefKeef, ', ""Winnin' byChiefKeef (Ft.KingLouie), "", ""I Don't Like byChiefKeef (Ft.LilReese), "", 'True Religion Fein byChiefKeef (Ft.YaleLucciani), ', 'Designer byChiefKeef, ', ""I Don't Know Dem byChiefKeef, "", 'Everyday byChiefKeef, ', 'Trust None byChiefKeef (Ft.JohnnyMaycash), ', '3Hunna (Remix) byChiefKeef (Ft.SouljaBoy), ', 'Save That Shit byChiefKeef, ']"
Almighty So,2013,https://images.genius.com/5661a3c924647dd39fddc9ab59c61842.770x770x1.jpg,"['Almighty So Intro byChiefKeef, ', 'Sucka byChiefKeef (Ft.Cdai), ', 'Ape Shit byChiefKeef, ', 'Hunchoz byChiefKeef, ', 'In Love With the Gwop byChiefKeef, ', 'Young Rambos byChiefKeef, ', 'Blew My High byChiefKeef, ', 'Me byChiefKeef (Ft.Tadoe), ', 'Self byChiefKeef (Ft.Tadoe), ', 'Nice byChiefKeef, ', 'Salty byChiefKeef, ', 'Woulda Coulda byChiefKeef, ', 'I Kno byChiefKeef, ', 'Baby Whats Wrong With You byChiefKeef, ', 'Yesterday byChiefKeef, ']"
Big Gucci Sosa,2014,https://images.genius.com/a9201697c24bbf235496f97108871b82.1000x1000x1.png,"['Semi on Em byGucciMane & Chief Keef, ', 'Banger byGucciMane & Chief Keef, ', 'Turn Up byGucciMane & Chief Keef, ', 'Don�t Lose No Load byGucciMane & Chief Keef, ', 'First Day of School byGucciMane & Chief Keef, ', 'Paper byChiefKeef (Ft.GucciMane), ', 'Baby Daddy Broke byGucciMane & Chief Keef, ', 'Sumn Sumn byGucciMane & Chief Keef, ', ""Start Pimpin' byGucciMane (Ft.ChiefKeef), "", 'Darker byGucciMane (Ft.ChiefKeef), ', 'Top in the Trash byGucciMane (Ft.ChiefKeef), ', 'So Much Money (WW3) byGucciMane (Ft.ChiefKeef), ']"
Back from the dead 2,2014,https://images.genius.com/8d04e6f14ce772d926447df3c6da8f9a.1000x1000x1.png,"['Feds byChiefKeef, ', 'Paper byChiefKeef (Ft.GucciMane), ', 'Whole Crowd byChiefKeef, ', 'Faneto byChiefKeef, ', 'Blurry byChiefKeef (Ft.Tadoe), ', 'Cops byChiefKeef, ', ""Where's Waldo byChiefKeef, "", 'Farm byChiefKeef, ', 'Homie byChiefKeef, ', 'Sets byChiefKeef, ', 'Dear byChiefKeef, ', 'Stupid byChiefKeef, ', 'Cuz byChiefKeef, ', 'Who Is That byChiefKeef, ', 'Smack DVD byChiefKeef, ', ""Cashin' byChiefKeef, "", 'The Moral byChiefKeef, ', 'Swag byChiefKeef, ', 'Wayne byChiefKeef, ', ""B's byChiefKeef, ""]"
The Leek vol 1,2015,https://images.genius.com/195d52c7d5249f723c3255d38f3ca875.1000x1000x1.png,"[""Granny's byChiefKeef, "", 'Aston Martin byChiefKeef, ', 'Colors byChiefKeef, ', 'Who Would�ve Ever Thought byChiefKeef (Ft.Future), ', '24 byChiefKeef (Ft.ManeMane4CGG), ', 'How It Go byChiefKeef, ', 'Slam Dunkin byChiefKeef, ', 'Hundreds byChiefKeef, ', 'Close That Door byChiefKeef, ', 'Pull Up byChiefKeef, ', 'Save Me byChiefKeef, ', 'Either Way byChiefKeef, ', 'War byChiefKeef, ', 'Only Thing I Know byFedy (Ft.ChiefKeef), ', 'Make It Count byChiefKeef, ']"
The Leek vol 2,2015,https://images.genius.com/e43417f08e032605ac2b31e13a34f57c.500x500x1.jpg,"['Rider byChiefKeef (Ft.WizKhalifa), ', 'Morgan Tracy byChiefKeef, ', 'Love No Thotties byChiefKeef, ', 'Killer byChiefKeef, ', 'April Fools byChiefKeef, ', 'Macaroni Time byChiefKeef, ', 'First Day Out byChiefKeef, ', 'Doctor byChiefKeef, ', 'No Hook Gang byChiefKeef (Ft.AndyMilonakis), ', 'Three Zero Zero byChiefKeef, ', 'Michelin byChiefKeef (Ft.MattiBaybee), ', 'Emojis byChiefKeef, ', 'Psych Ward byChiefKeef, ', ""Now It's Over byChiefKeef, ""]"
Bang 3,2015,https://images.genius.com/4e308b1e74f592b09ab66db2568de60a.1000x1000x1.png,"['Laurel Canyon byChiefKeef, ', 'Cappin byChiefKeef, ', 'Unstoppable byChiefKeef, ', 'Superheroes byChiefKeef (Ft.A$APRocky), ', 'Singing to the Cheese byChiefKeef, ', 'Pick One byChiefKeef, ', 'New School byChiefKeef, ', 'Facts byChiefKeef, ', 'I Just Wanna byChiefKeef (Ft.MacMiller), ', 'Yes byChiefKeef, ', ""Ain't Missing You byChiefKeef (Ft.JennEm), "", 'Million$ byChiefKeef, ', 'Go Harder byChiefKeef, ', 'Green Light byChiefKeef, ']"
Bang 3 pt2,2015,https://images.genius.com/901a4529fbff7b702674996c7d42fc46.600x600x1.jpg,"[""Pee Pee'd byChiefKeef, "", 'Wit It byChiefKeef, ', 'Bouncin byChiefKeef, ', 'Charge My Car byChiefKeef, ', 'Get That Sack byChiefKeef, ', 'Irri byChiefKeef (Ft.LilB), ', 'Racist byChiefKeef, ', 'Gloin byChiefKeef, ', 'That Night byChiefKeef, ', ""It's More byChiefKeef, "", 'OG Fiji byChiefKeef, ', 'Tree Tree byChiefKeef, ', ""T'd byChiefKeef, "", 'Ignorant byChiefKeef, ', 'Told Ya byChiefKeef, ', 'Off the Tooka byChiefKeef (Ft.Tadoe), ', 'Real Money byChiefKeef, ']"
